english,santhali
"We watched children playing in the park.   ","ᱟᱞᱮ ᱯᱟᱨᱠ ᱨᱮ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱚ ᱧᱮᱞ ᱞᱮᱫ ᱠᱚᱣᱟ ᱾ "
"She made pancakes for breakfast.   ","ᱩᱱᱤ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱞᱟᱹᱜᱤᱫ ᱯᱮᱱᱠᱮᱠ ᱵᱮᱱᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"He arranged the books neatly on the shelf.   ","ᱩᱱᱤ ᱯᱚᱛᱚᱵ ᱠᱚ ᱥᱮᱞᱯᱷ ᱨᱮ ᱥᱟᱯᱷᱟ ᱥᱟᱯᱷᱟ ᱥᱟᱹᱭᱛᱟᱹᱣ ᱠᱮᱫᱟᱭ ᱾ "
"We stood in the rain without an umbrella.   ","ᱟᱞᱮ ᱵᱤᱱᱟᱹ ᱪᱟᱛᱚᱢ ᱛᱮ ᱡᱟᱹᱯᱩᱫ ᱨᱮ ᱞᱮ ᱛᱤᱸᱜᱩ ᱞᱮᱱᱟ ᱾ "
"She folded the paper into a boat.   ","ᱩᱱᱤ ᱠᱟᱜᱚᱡᱽ ᱞᱟᱹᱣᱠᱟᱹ ᱨᱮ ᱞᱟᱹᱴᱩ ᱠᱮᱜᱼᱟᱭ ᱾ "
"He helped his father wash the car.   ","ᱩᱱᱤ ᱟᱡ ᱵᱟᱵᱟ ᱠᱟᱨ ᱟᱹᱨᱩᱵ ᱞᱟᱹᱜᱤᱫ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"We found a quiet place to study.   ","ᱟᱞᱮ ᱯᱟᱲᱦᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱱᱤᱡᱷᱩ ᱴᱷᱟᱶ ᱞᱮ ᱧᱟᱢ ᱠᱮᱫᱟ᱾ "
"She switched on the lamp beside her bed.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱵᱮᱰ ᱥᱩᱨ ᱨᱮ ᱞᱮᱢᱯ ᱪᱟᱹᱞᱩ ᱠᱮᱫᱟᱭ ᱾ "
"He cleaned the paintbrush after using it.   ","ᱩᱱᱤ ᱯᱮᱸᱴ ᱵᱽᱨᱟᱥ ᱵᱮᱵᱷᱟᱨ ᱠᱟᱛᱮ ᱥᱟᱯᱷᱟ ᱠᱮᱫᱟᱭ ᱾ "
"We danced together at the wedding.   ","ᱟᱞᱮ ᱵᱟᱯᱞᱟ ᱨᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱞᱮ ᱮᱱᱮᱡ ᱞᱮᱱᱟ ᱾ "
"She watered the plants after sunset.   ","ᱩᱱᱤ ᱥᱤᱛᱩᱝ ᱧᱩᱨᱩᱜ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱮ ᱠᱚ ᱫᱟᱜ ᱮ ᱮᱢ ᱠᱮᱫ ᱠᱚᱣᱟ ᱾ "
"He wrote his homework in a new notebook.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱹᱢᱤ ᱢᱤᱫ ᱱᱟᱶᱟ ᱱᱚᱴᱵᱚᱦᱤ ᱨᱮ ᱚᱞ ᱠᱮᱫᱟᱭ ᱾ "
"We waved goodbye to our friends.   ","ᱟᱞᱮ ᱟᱞᱮ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱚ ᱵᱤᱫᱟᱹ ᱞᱮ ᱦᱟᱦᱟᱣ ᱠᱮᱫ ᱠᱚᱣᱟ ᱾ "
"She painted a flower on the wall.   ","ᱩᱱᱤ ᱵᱷᱤᱛ ᱨᱮ ᱢᱤᱫ ᱵᱟᱦᱟ ᱨᱚᱝ ᱠᱮᱫᱟᱭ ᱾ "
"He opened the door to let the cat in.   ","ᱩᱱᱤ ᱯᱩᱥᱤ ᱵᱷᱤᱛᱨᱤ ᱵᱚᱞᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱫᱩᱣᱟᱹᱨ ᱡᱷᱤᱡ ᱠᱮᱫᱟᱭ ᱾ "
"We waited for the bus in the rain.   ","ᱟᱞᱮ ᱫᱚ ᱡᱟᱹᱯᱩᱫ ᱨᱮ ᱵᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱞᱮ ᱛᱟᱺᱜᱤ ᱞᱮᱫᱟ᱾ "
"I’m boiling water for ginger tea. ","ᱤᱧ ᱫᱚ ᱦᱤᱸᱥᱟ ᱪᱟ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱤᱧ ᱩᱰᱩᱝ ᱮᱫᱟ᱾ "
"She is sketching a quiet waterfall. ","ᱩᱱᱤ ᱢᱤᱫ ᱱᱤᱡᱷᱩ ᱫᱟᱜ ᱧᱩᱨᱦᱟᱹᱜ ᱨᱮᱭᱟᱜ ᱥᱠᱮᱪ ᱮ ᱵᱮᱱᱟᱣ ᱮᱫᱟ᱾ "
"We are organizing a community art show. ","ᱟᱞᱮ ᱢᱤᱫ ᱜᱟᱶᱛᱟ ᱟᱨᱴ ᱥᱚ ᱞᱮ ᱵᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"He is installing a new update for his laptop. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱞᱮᱯᱴᱚᱯ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱶᱟ ᱟᱯᱰᱮᱴ ᱤᱱᱥᱴᱚᱞ ᱮᱫᱟᱭ ᱾ "
"I’m clearing the notification tray. ","ᱤᱧ ᱱᱚᱴᱤᱯᱷᱤᱠᱮᱥᱚᱱ ᱴᱨᱮ ᱤᱧ ᱯᱷᱟᱨᱪᱟ ᱮᱫᱟ᱾ "
"She is reading a book on marine biology. ","ᱩᱱᱤ ᱫᱚᱨᱭᱟ ᱡᱤᱣᱤ ᱵᱤᱨᱫᱟᱹ ᱪᱮᱛᱟᱱ ᱨᱮ ᱢᱤᱫ ᱯᱚᱛᱚᱵ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are visiting a local science center. ","ᱟᱞᱮ ᱫᱚ ᱢᱤᱫ ᱞᱚᱠᱟᱞ ᱥᱟᱬᱮᱥ ᱛᱟᱞᱢᱟ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is sorting his old postcards. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱢᱟᱨᱮ ᱯᱚᱥᱴᱠᱟᱨᱰ ᱵᱟᱪᱷᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I’m updating my emergency contact list. ","ᱤᱧ ᱤᱧᱟᱜ ᱤᱢᱟᱨᱡᱮᱱᱥᱤ ᱠᱚᱱᱴᱟᱠᱴ ᱛᱟᱞᱠᱟ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is rehearsing her lines for the play. ","ᱩᱱᱤ ᱫᱚ ᱮᱱᱮᱡ ᱞᱟᱹᱜᱤᱫ ᱟᱡᱟᱜ ᱞᱟᱭᱤᱱ ᱨᱮᱭᱟᱜ ᱨᱤᱦᱟᱨᱥ ᱮᱫᱟᱭ ᱾ "
"We are watching a documentary on climate change. ","ᱟᱞᱮ ᱫᱚ ᱡᱚᱭᱞᱟᱢ ᱵᱚᱫᱚᱞ ᱪᱮᱛᱟᱱ ᱨᱮ ᱢᱤᱫ ᱰᱚᱠᱭᱩᱢᱮᱱᱴᱟᱨᱤ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is folding the clean bedsheets. ","ᱩᱱᱤ ᱥᱟᱯᱷᱟ ᱵᱮᱰᱥᱤᱴ ᱠᱚ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱭ ᱾ "
"I’m syncing my calendar with my email. ","ᱤᱧ ᱤᱧᱟᱜ ᱠᱮᱞᱮᱱᱰᱟᱨ ᱤᱧᱟᱜ ᱤᱢᱮᱞ ᱥᱟᱶ ᱥᱤᱱᱠ ᱮᱫᱟᱹᱧ ᱾ "
"She is watering the hanging flower pots. ","ᱩᱱᱤ ᱞᱟᱴᱷᱟ ᱟᱠᱟᱱ ᱵᱟᱦᱟ ᱜᱟᱹᱰᱤ ᱨᱮ ᱫᱟᱜ ᱮᱢᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"We are setting up the welcome table. ","ᱟᱞᱮ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱴᱮᱵᱩᱞ ᱞᱮ ᱛᱷᱟᱯᱚᱱ ᱮᱫᱟ᱾ "
"He is checking the train route again. ","ᱩᱱᱤ ᱫᱚ ᱴᱨᱮᱱ ᱨᱳᱴ ᱫᱚᱦᱲᱟ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m writing a thank-you email. ","ᱤᱧ ᱫᱚ ᱥᱟᱨᱦᱟᱣ ᱤᱢᱮᱞ ᱤᱧ ᱚᱞ ᱮᱫᱟ᱾ "
"She is baking chocolate chip cookies. ","ᱩᱱᱤ ᱪᱚᱠᱞᱮᱴ ᱪᱤᱯ ᱠᱩᱠᱤᱡᱽ ᱥᱮᱠᱤᱝ ᱮᱫᱟᱭ ᱾ "
"We are planning a school fundraiser. ","ᱟᱞᱮ ᱫᱚ ᱟᱥᱲᱟ ᱨᱮ ᱫᱷᱚᱱ ᱛᱩᱢᱟᱹᱞ ᱞᱮ ᱯᱞᱟᱱ ᱮᱫᱟ᱾ "
"He is painting the garden fence. ","ᱩᱱᱤ ᱵᱟᱜᱟᱱ ᱨᱮᱭᱟᱜ ᱵᱮᱲᱟ ᱨᱚᱝ ᱮᱫᱟᱭ ᱾ "
"I’m making a checklist for the trip. ","ᱤᱧ ᱫᱟᱬᱟ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱪᱮᱠᱞᱤᱥᱴ ᱵᱮᱱᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is doing stretching exercises. ","ᱩᱱᱤ ᱫᱚ ᱥᱴᱨᱮᱪᱤᱝ ᱮᱠᱥᱟᱨᱥᱟᱭᱤᱡᱽ ᱠᱚᱨᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are decorating the hallway walls. ","ᱟᱞᱮ ᱦᱚᱞᱣᱮ ᱨᱮᱭᱟᱜ ᱵᱷᱤᱛ ᱞᱮ ᱥᱟᱡᱟᱣ ᱮᱫᱟ᱾ "
"He is cleaning his reading glasses. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱯᱟᱲᱦᱟᱣ ᱪᱚᱥᱢᱟ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m preparing a study schedule. ","ᱤᱧ ᱢᱤᱫ ᱯᱟᱲᱦᱟᱣ ᱥᱮᱰᱭᱩᱞ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is brushing the goat. ","ᱩᱱᱤ ᱢᱮᱨᱚᱢ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱭ ᱾ "
"We are walking to the community library. ","ᱟᱞᱮ ᱥᱟᱶᱛᱟ ᱞᱟᱭᱵᱨᱮᱨᱤ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"He is listening to a news podcast. ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱷᱚᱵᱚᱨ ᱯᱚᱰᱠᱟᱥᱴ ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I’m organizing my bookmarks folder. ","ᱤᱧ ᱤᱧᱟᱜ ᱵᱩᱠᱢᱟᱨᱠ ᱯᱷᱚᱞᱰᱟᱨ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is cooking rice and vegetables. ","ᱩᱱᱤ ᱫᱟᱠᱟ ᱟᱨ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱚᱭ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"We are rearranging the meeting room. ","ᱟᱞᱮ ᱢᱤᱴᱤᱝ ᱨᱩᱢ ᱫᱚᱦᱲᱟ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ ᱞᱮ ᱾ "
"He is vacuuming the carpet. ","ᱩᱱᱤ ᱠᱟᱨᱯᱮᱴ ᱣᱮᱠᱭᱩᱢ ᱮᱫᱟᱭ ᱾ "
"I’m reading a blog article. ","ᱤᱧ ᱢᱤᱫ ᱵᱽᱞᱚᱜᱽ ᱚᱱᱚᱞ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is ironing the tablecloths. ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱠᱤᱪᱨᱤᱡ ᱠᱚ ᱤᱥᱛᱨᱤ ᱮᱫᱟᱭ ᱾ "
"We are packing for the weekend. ","ᱟᱞᱮ ᱦᱟᱯᱛᱟ ᱢᱩᱪᱟᱹᱫ ᱞᱟᱹᱜᱤᱫ ᱞᱮ ᱯᱮᱠᱤᱝ ᱮᱫᱟ᱾ "
"He is checking his calendar alerts. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱠᱮᱞᱮᱱᱰᱟᱨ ᱮᱞᱟᱨᱴ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m updating my phone settings. ","ᱤᱧ ᱤᱧᱟᱜ ᱯᱷᱚᱱ ᱥᱮᱴᱤᱝ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is feeding the ducks. ","ᱩᱱᱤ ᱜᱮᱰᱮ ᱠᱚ ᱡᱚᱢ ᱚᱪᱚ ᱠᱚᱣᱟᱭ ᱾ "
"We are building a cardboard spaceship. ","ᱟᱞᱮ ᱢᱤᱫ ᱠᱟᱨᱰᱵᱚᱨᱰ ᱥᱯᱮᱥᱥᱤᱯ ᱞᱮ ᱵᱮᱱᱟᱣ ᱮᱫᱟ᱾ "
"He is warming up for a jog. ","ᱩᱱᱤ ᱫᱚ ᱡᱚᱜᱽ ᱞᱟᱹᱜᱤᱫ ᱩᱨᱜᱩᱢᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I’m writing a farewell message. ","ᱤᱧ ᱢᱤᱫ ᱵᱤᱫᱟᱹ ᱠᱷᱚᱵᱚᱨ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is watching a tutorial on photography. ","ᱩᱱᱤ ᱯᱷᱳᱴᱳᱜᱨᱟᱯᱷᱤ ᱨᱮᱱᱟᱜ ᱢᱤᱫ ᱴᱩᱴᱳᱨᱤᱭᱟᱞ ᱧᱮᱞ ᱠᱟᱱᱟᱭ ᱾ "
"We are planting tulips in the garden. ","ᱟᱞᱮ ᱵᱟᱜᱟᱱ ᱨᱮ ᱴᱩᱞᱤᱯᱥ ᱞᱮ ᱨᱚᱦᱚᱭ ᱮᱫᱟ᱾ "
"He is cleaning the bathroom mirror. ","ᱩᱱᱤ ᱵᱟᱛᱷᱨᱩᱢ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱥᱤ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m making a bowl of cereal. ","ᱤᱧ ᱫᱚ ᱟᱱᱟᱡᱽ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱵᱟᱹᱴᱤ ᱵᱮᱱᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is drawing a baby giraffe. ","ᱩᱱᱤ ᱫᱚ ᱢᱤᱫ ᱜᱤᱫᱽᱨᱟᱹ ᱡᱤᱨᱟᱯᱷ ᱮ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟ᱾ "
"We are fixing the broken drawer. ","ᱟᱞᱮ ᱨᱟᱹᱯᱩᱫ ᱰᱨᱚᱭᱟᱨ ᱞᱮ ᱴᱷᱤᱠ ᱮᱫᱟ᱾ "
"He is polishing the cabinet knobs. ","ᱩᱱᱤ ᱠᱮᱵᱤᱱᱮᱴ ᱱᱚᱵᱽ ᱠᱚ ᱯᱚᱞᱤᱥ ᱮᱫᱟᱭ ᱾ "
"I’m reviewing the checklist again. ","ᱤᱧ ᱫᱚ ᱪᱮᱠᱞᱤᱥᱴ ᱫᱚᱦᱲᱟ ᱛᱮ ᱧᱮᱞ ᱵᱤᱰᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is sewing a cloth pouch. ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱤᱪᱨᱤᱡ ᱛᱷᱟᱹᱞᱤ ᱥᱤᱞ ᱠᱟᱱᱟᱭ ᱾ "
"We are preparing the welcome drinks. ","ᱟᱞᱮ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱧᱩᱣᱟᱜ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is checking the water supply. ","ᱩᱱᱤ ᱫᱟᱜ ᱥᱟᱯᱞᱟᱭ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m folding the towels. ","ᱤᱧ ᱴᱟᱣᱮᱞ ᱠᱚ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱹᱧ ᱾ "
"She is organizing her travel kit. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱫᱟᱬᱟᱱ ᱠᱤᱴ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱭ ᱾ "
"We are painting the garage wall. ","ᱟᱞᱮ ᱜᱮᱨᱮᱡᱽ ᱵᱷᱤᱛ ᱞᱮ ᱨᱚᱝ ᱮᱫᱟ᱾ "
"He is reading the newspaper headlines. ","ᱩᱱᱤ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱨᱮᱭᱟᱜ ᱦᱮᱰᱞᱟᱭᱤᱱ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I’m cleaning the blender. ","ᱤᱧ ᱵᱞᱮᱱᱰᱟᱨ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾"
"She is making peppermint tea. ","ᱩᱱᱤ ᱯᱮᱯᱟᱨᱢᱤᱱᱴ ᱪᱟᱭ ᱵᱮᱱᱟᱣ ᱮᱫᱟ᱾ "
"We are sorting the old magazines. ","ᱟᱞᱮ ᱢᱟᱨᱮ ᱯᱟᱛᱷᱟᱢ ᱠᱚ ᱵᱟᱪᱷᱟᱣ ᱮᱫᱟ ᱞᱮ ᱾ "
"He is updating his planner. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱯᱞᱟᱱᱟᱨ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱭ ᱾ "
"I’m checking the train schedule. ","ᱤᱧ ᱴᱨᱮᱱ ᱥᱮᱰᱭᱩᱞ ᱧᱮᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is wrapping the handmade gifts. ","ᱩᱱᱤ ᱛᱤᱛᱩᱢ ᱛᱮ ᱵᱮᱱᱟᱣ ᱥᱤᱨᱯᱟᱹ ᱠᱚ ᱵᱮᱫᱷᱟᱣ ᱮᱫᱟᱭ ᱾ "
"We are planning a group activity. ","ᱟᱞᱮ ᱫᱚ ᱢᱤᱫ ᱜᱟᱫᱮᱞ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱞᱮ ᱯᱞᱟᱱ ᱮᱫᱟ᱾ "
"He is sharpening the pencils. ","ᱩᱱᱤ ᱯᱮᱱᱥᱤᱞ ᱠᱚ ᱞᱟᱥᱮᱨ ᱮᱫᱟᱭ ᱾ "
"I’m scanning the ID card. ","ᱤᱧ ᱟᱭᱰᱤ ᱠᱟᱨᱰ ᱤᱧ ᱥᱠᱮᱱ ᱮᱫᱟ᱾ "
"She is labeling the storage bins. ","ᱩᱱᱤ ᱫᱚ ᱥᱴᱚᱨᱮᱡᱽ ᱵᱤᱱ ᱠᱚ ᱞᱮᱵᱮᱞ ᱮᱫᱟᱭ ᱾ "
"We are washing the patio furniture. ","ᱟᱞᱮ ᱯᱟᱴᱤᱭᱚ ᱯᱷᱟᱨᱱᱤᱪᱟᱨ ᱞᱮ ᱟᱹᱨᱩᱵ ᱮᱫᱟ᱾ "
"He is hanging the wind chimes. ","ᱩᱱᱤ ᱫᱚ ᱦᱚᱭ ᱪᱟᱭᱤᱢ ᱞᱟᱴᱷᱟ ᱟᱠᱟᱫᱟᱭ ᱾ "
"I’m saving the updated file. ","ᱤᱧ ᱟᱯᱰᱮᱴ ᱟᱠᱟᱱ ᱨᱮᱫ ᱤᱧ ᱥᱟᱧᱪᱟᱣ ᱮᱫᱟ᱾ "
"She is sketching a flamingo. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱷᱞᱟᱢᱤᱝᱜᱚ ᱥᱠᱮᱪ ᱮᱫᱟᱭ ᱾ "
"We are tidying the supply closet. ","ᱟᱞᱮ ᱥᱚᱯᱞᱟᱭ ᱟᱞᱢᱟᱨᱤ ᱞᱮ ᱥᱟᱯᱷᱟᱭᱮᱫᱟ᱾ "
"He is adjusting the curtain rod. ","ᱩᱱᱤ ᱯᱚᱨᱫᱟ ᱨᱚᱰ ᱮ ᱵᱮᱵᱷᱟᱨ ᱮᱫᱟ᱾ "
"I’m copying the reference notes. ","ᱤᱧ ᱨᱮᱯᱷᱮᱨᱮᱱᱥ ᱱᱚᱴ ᱠᱚ ᱱᱚᱠᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is folding the aprons. ","ᱩᱱᱤ ᱮᱯᱨᱚᱱ ᱠᱚ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱭ ᱾ "
"We are organizing the supply shelf. ","ᱟᱞᱮ ᱥᱚᱯᱞᱟᱭ ᱥᱮᱞᱯᱷ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is checking the power outlet. ","ᱩᱱᱤ ᱫᱚ ᱯᱟᱣᱟᱨ ᱟᱩᱴᱞᱮᱴ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m cleaning the whiteboard. ","ᱤᱧ ᱯᱩᱸᱰ ᱵᱚᱨᱰ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"She is making a green smoothie. ","ᱩᱱᱤ ᱫᱚ ᱦᱟᱹᱨᱭᱟᱹᱲ ᱥᱢᱩᱛᱷᱤ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are preparing the lunch menu. ","ᱟᱞᱮ ᱢᱟᱧᱡᱟᱱ ᱡᱚᱢᱟᱜ ᱢᱮᱱᱩ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is fixing the door hinge. ","ᱩᱱᱤ ᱫᱩᱣᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱠᱷᱟᱹᱲᱤ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"I’m updating the user profile. ","ᱤᱧ ᱵᱮᱵᱷᱟᱨᱤᱭᱟᱹ ᱯᱨᱚᱯᱷᱟᱭᱤᱞ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is painting a mountain range. ","ᱩᱱᱤ ᱢᱤᱫ ᱵᱩᱨᱩ ᱯᱟᱦᱴᱟ ᱨᱚᱝ ᱮᱫᱟᱭ ᱾ "
"We are setting up the projector cables. ","ᱟᱞᱮ ᱯᱨᱚᱡᱮᱠᱴᱚᱨ ᱠᱮᱵᱩᱞ ᱞᱮ ᱥᱮᱴ ᱟᱯ ᱮᱫᱟ᱾ "
"He is checking the air purifier. ","ᱩᱱᱤ ᱦᱚᱭ ᱯᱩᱨᱤᱯᱷᱟᱭᱟᱨ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m organizing the kitchen tools. ","ᱤᱧ ᱫᱟᱠᱟ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱡᱤᱱᱤᱥ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is baking a batch of cupcakes. ","ᱩᱱᱤ ᱠᱟᱯᱠᱮᱠ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱵᱮᱪ ᱮ ᱥᱮᱠᱟᱣ ᱮᱫᱟ᱾ "
"We are sweeping the garden path. ","ᱟᱞᱮ ᱵᱟᱜᱟᱱ ᱨᱮᱭᱟᱜ ᱦᱚᱨ ᱞᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"He is cleaning the phone screen. ","ᱩᱱᱤ ᱯᱷᱚᱱ ᱥᱠᱨᱤᱱ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"I’m reviewing the syllabus. ","ᱤᱧ ᱥᱤᱞᱮᱵᱟᱥ ᱧᱮᱞ ᱫᱚᱦᱚ ᱮᱫᱟᱹᱧ ᱾ "
"She is decorating the photo frame. ","ᱩᱱᱤ ᱯᱷᱳᱴᱳ ᱯᱷᱨᱟᱢ ᱮ ᱥᱟᱡᱟᱣ ᱮᱫᱟ᱾"
"We are fixing the broken gate.","ᱟᱞᱮ ᱨᱟᱹᱯᱩᱫ ᱜᱮᱴ ᱞᱮ ᱴᱷᱤᱠ ᱮᱫᱟ᱾"
"He is checking the mailbox for deliveries. ","ᱩᱱᱤ ᱰᱮᱞᱤᱵᱷᱟᱨᱤ ᱞᱟᱹᱜᱤᱫ ᱢᱮᱭᱞ ᱵᱚᱠᱥ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m formatting the final report. ","ᱤᱧ ᱢᱩᱪᱟᱹᱫ ᱨᱤᱯᱚᱨᱴ ᱯᱷᱚᱨᱢᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is organizing the cleaning products. ","ᱩᱱᱤ ᱥᱟᱯᱷᱟ ᱡᱤᱱᱤᱥ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱭ ᱾ "
"We are preparing the breakfast table. ","ᱟᱞᱮ ᱫᱚ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱴᱮᱵᱩᱞ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is cleaning the litter box. ","ᱩᱱᱤ ᱠᱟᱛᱣᱟᱨ ᱵᱟᱠᱥᱚ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m updating the software version. ","ᱤᱧ ᱥᱚᱯᱷᱴᱣᱮᱭᱟᱨ ᱵᱷᱟᱨᱥᱚᱱ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is making a welcome card. ","ᱩᱱᱤ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱠᱟᱨᱰ ᱮ ᱵᱮᱱᱟᱣ ᱮᱫᱟ᱾ "
"We are arranging the centerpieces. ","ᱟᱞᱮ ᱫᱚ ᱛᱟᱞᱟ ᱦᱟᱹᱴᱤᱧ ᱞᱮ ᱥᱟᱹᱭᱛᱟᱹᱣ ᱮᱫᱟ᱾ "
"He is checking the fire extinguisher. ","ᱩᱱᱤ ᱥᱮᱝᱜᱮᱞ ᱵᱚᱸᱫᱚᱜ ᱡᱤᱱᱤᱥ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
